[INFO] [1776169209.225075952] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.9 ms | preprocess=4.1 ms | infer=126.9 ms | post=37.9 ms | fps_avg=5.92 | fps_out=5.84 | last_total=169.5 ms | last_infer=127.1 ms | processed=1633 | rgb_rx=1721 | tir_rx=1738 | dropped=189 | cuda_mem=1008/1780 MB
[INFO] [1776169214.287244640] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.8 ms | preprocess=4.1 ms | infer=126.8 ms | post=38.0 ms | fps_avg=5.92 | fps_out=5.73 | last_total=167.5 ms | last_infer=126.0 ms | processed=1662 | rgb_rx=1755 | tir_rx=1773 | dropped=200 | cuda_mem=1008/1780 MB
[INFO] [1776169219.342456642] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.5 ms | preprocess=4.1 ms | infer=125.9 ms | post=37.5 ms | fps_avg=5.97 | fps_out=5.93 | last_total=167.6 ms | last_infer=126.0 ms | processed=1692 | rgb_rx=1785 | tir_rx=1803 | dropped=200 | cuda_mem=1008/1780 MB
[INFO] [1776169224.499395621] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.2 ms | preprocess=4.1 ms | infer=125.7 ms | post=37.4 ms | fps_avg=5.98 | fps_out=5.82 | last_total=168.0 ms | last_infer=126.5 ms | processed=1722 | rgb_rx=1817 | tir_rx=1835 | dropped=204 | cuda_mem=1008/1780 MB
[INFO] [1776169229.523086636] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.6 ms | preprocess=4.1 ms | infer=126.0 ms | post=37.5 ms | fps_avg=5.97 | fps_out=5.77 | last_total=167.8 ms | last_infer=125.8 ms | processed=1751 | rgb_rx=1848 | tir_rx=1866 | dropped=208 | cuda_mem=1008/1780 MB
[INFO] [1776169234.625726636] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.6 ms | post=37.6 ms | fps_avg=5.94 | fps_out=5.88 | last_total=169.1 ms | last_infer=126.9 ms | processed=1781 | rgb_rx=1879 | tir_rx=1896 | dropped=209 | cuda_mem=1008/1780 MB
[INFO] [1776169239.718404457] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.4 ms | preprocess=4.1 ms | infer=126.7 ms | post=37.6 ms | fps_avg=5.94 | fps_out=5.89 | last_total=166.9 ms | last_infer=125.4 ms | processed=1811 | rgb_rx=1909 | tir_rx=1926 | dropped=209 | cuda_mem=1008/1780 MB
[INFO] [1776169244.793821124] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.0 ms | preprocess=4.1 ms | infer=125.9 ms | post=38.0 ms | fps_avg=5.95 | fps_out=5.91 | last_total=168.0 ms | last_infer=126.0 ms | processed=1841 | rgb_rx=1939 | tir_rx=1956 | dropped=209 | cuda_mem=1008/1780 MB
[INFO] [1776169249.828022043] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.8 ms | preprocess=4.1 ms | infer=125.4 ms | post=38.3 ms | fps_avg=5.96 | fps_out=5.76 | last_total=168.0 ms | last_infer=125.5 ms | processed=1870 | rgb_rx=1971 | tir_rx=1988 | dropped=215 | cuda_mem=1008/1780 MB
[INFO] [1776169254.956509151] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.9 ms | preprocess=4.1 ms | infer=125.4 ms | post=38.4 ms | fps_avg=5.96 | fps_out=5.85 | last_total=168.7 ms | last_infer=125.9 ms | processed=1900 | rgb_rx=2002 | tir_rx=2019 | dropped=217 | cuda_mem=1008/1780 MB
